                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.43931,                0.44424,                 1.1075,                 0.9519,                0.96822,                0.99037,                0.76958,                0.82901,                0.44589,                  1.766,             0.00013466,             0.00013466,             0.00013466
                     36,                0.44006,                0.43347,                 1.1169,                0.96231,                0.94664,                0.98167,                0.75376,                0.82856,                0.43954,                 1.7425,             0.00013268,             0.00013268,             0.00013268
                     37,                0.42999,                0.42594,                 1.1017,                0.92903,                0.97677,                0.98473,                0.74526,                0.87754,                0.47113,                 1.8431,              0.0001307,              0.0001307,              0.0001307
                     38,                0.42203,                0.42791,                 1.0976,                0.90798,                0.98219,                0.98621,                 0.7356,                0.90434,                0.48262,                 1.8462,             0.00012872,             0.00012872,             0.00012872
                     39,                0.41668,                0.41384,                 1.0924,                0.92414,                0.96774,                0.98497,                0.76688,                0.82768,                0.43386,                 1.7621,             0.00012674,             0.00012674,             0.00012674
                     40,                0.42206,                0.41531,                 1.0936,                0.94129,                0.97246,                0.98639,                0.74952,                0.88896,                0.45902,                 1.8321,             0.00012476,             0.00012476,             0.00012476
                     41,                0.42927,                0.41725,                 1.0971,                 0.9664,                0.96104,                0.98102,                0.74142,                0.87794,                0.46596,                  1.813,             0.00012278,             0.00012278,             0.00012278
                     42,                0.41197,                0.39509,                 1.0885,                0.94666,                0.98314,                0.99082,                0.75926,                0.84241,                0.43739,                 1.7542,              0.0001208,              0.0001208,              0.0001208
                     43,                0.41482,                0.39746,                 1.0878,                0.95318,                 0.9628,                0.97715,                0.76076,                0.82367,                0.44801,                 1.7374,             0.00011882,             0.00011882,             0.00011882
                     44,                0.40519,                0.38536,                 1.0792,                0.96773,                0.94872,                0.98602,                0.77008,                0.82997,                0.43686,                 1.7649,             0.00011684,             0.00011684,             0.00011684
                     45,                0.40465,                0.38505,                 1.0782,                0.93626,                0.97655,                0.98586,                0.77072,                0.84187,                0.42721,                 1.7748,             0.00011486,             0.00011486,             0.00011486
                     46,                0.39967,                0.37548,                 1.0799,                0.96046,                 0.9339,                0.97998,                0.76499,                0.82776,                0.44167,                 1.7693,             0.00011288,             0.00011288,             0.00011288
                     47,                0.39927,                0.38757,                 1.0804,                0.96515,                0.93837,                 0.9743,                 0.7591,                0.82288,                0.43644,                 1.7492,              0.0001109,              0.0001109,              0.0001109
                     48,                0.39504,                0.37189,                 1.0768,                0.95557,                0.97203,                0.98476,                0.76047,                0.87521,                0.44142,                 1.8288,             0.00010892,             0.00010892,             0.00010892
                     49,                0.38898,                0.37166,                  1.072,                0.96132,                 0.9633,                0.99218,                0.77206,                0.82575,                0.42602,                 1.7639,             0.00010694,             0.00010694,             0.00010694
                     50,                 0.3883,                0.36434,                 1.0703,                0.93384,                0.97921,                 0.9871,                0.76492,                0.81158,                0.42426,                 1.7384,             0.00010496,             0.00010496,             0.00010496
                     51,                0.38197,                0.35322,                 1.0666,                0.94777,                0.98395,                0.99148,                0.76624,                0.81916,                0.41424,                 1.7559,             0.00010298,             0.00010298,             0.00010298
                     52,                0.38346,                0.35459,                 1.0658,                0.95525,                0.97247,                 0.9857,                0.76497,                0.84525,                  0.412,                 1.7941,               0.000101,               0.000101,               0.000101
                     53,                0.38271,                0.35321,                 1.0641,                0.96867,                0.97515,                 0.9845,                0.76285,                0.83069,                 0.4126,                 1.7512,              9.902e-05,              9.902e-05,              9.902e-05
                     54,                0.37904,                0.34602,                   1.06,                0.97386,                0.96662,                0.98736,                0.76225,                0.83916,                0.42726,                 1.7694,              9.704e-05,              9.704e-05,              9.704e-05
                     55,                0.37221,                0.34403,                 1.0597,                0.96503,                0.97705,                 0.9908,                0.76193,                0.81812,                0.40909,                 1.7318,              9.506e-05,              9.506e-05,              9.506e-05
                     56,                0.37263,                0.34791,                 1.0614,                0.95299,                0.97286,                0.98551,                0.75966,                0.83026,                0.41065,                 1.7507,              9.308e-05,              9.308e-05,              9.308e-05
                     57,                0.38175,                0.33946,                 1.0668,                0.94358,                0.97658,                 0.9841,                0.76687,                0.82684,                0.41171,                 1.7412,               9.11e-05,               9.11e-05,               9.11e-05
                     58,                 0.3734,                0.34223,                  1.058,                0.96806,                0.95756,                0.97669,                0.76348,                0.79751,                0.40132,                 1.7134,              8.912e-05,              8.912e-05,              8.912e-05
                     59,                0.37319,                0.33266,                 1.0587,                0.96607,                0.97208,                0.98783,                 0.7557,                0.82583,                0.41692,                 1.7604,              8.714e-05,              8.714e-05,              8.714e-05
                     60,                0.36578,                0.32693,                 1.0513,                0.96701,                0.96445,                0.98793,                 0.7794,                0.80396,                0.39909,                 1.7245,              8.516e-05,              8.516e-05,              8.516e-05
                     61,                0.36412,                0.32546,                 1.0496,                0.98345,                0.97556,                0.99321,                0.78277,                0.80047,                0.38794,                 1.7303,              8.318e-05,              8.318e-05,              8.318e-05
                     62,                0.36599,                0.33632,                 1.0616,                0.95114,                0.98351,                0.98995,                0.77041,                0.80537,                0.37835,                  1.727,               8.12e-05,               8.12e-05,               8.12e-05
